station,zone,link,price,like,comment,property_type,bedrooms,bathrooms,size,distance_to_closest_station,tenancy_type,date,post_type
Acton Town,3.0,https://www.rightmove.co.uk/properties/151796342#/?channel=RES_BUY,499950,,,Maisonette,3,1.0,,0.1,Leasehold,28/08/2024,Added
Acton Town,3.0,https://www.rightmove.co.uk/properties/152153051#/?channel=RES_BUY,615000,,,Flat,3,2.0,,0.2,Share of Freehold,21/10/2024,Reduced
Acton Town,3.0,https://www.rightmove.co.uk/properties/155801891#/?channel=RES_BUY,650000,,,Terraced,3,1.0,,0.2,Freehold,09/12/2024,Added
Acton Town,3.0,https://www.rightmove.co.uk/properties/156326039#/?channel=RES_BUY,650000,,,Flat,3,2.0,,0.2,Leasehold,30/12/2024,Added
Acton Town,3.0,https://www.rightmove.co.uk/properties/152570366#/?channel=RES_BUY,675000,,,Flat,3,2.0,,0.3,Share of Freehold,17/09/2024,Added
Acton Town,3.0,https://www.rightmove.co.uk/properties/153940475#/?channel=RES_BUY,675000,,,Apartment,3,1.0,"(800,)",0.3,Leasehold,18/10/2024,Added
Acton Town,3.0,https://www.rightmove.co.uk/properties/154018400#/?channel=RES_BUY,675000,,,Flat,3,1.0,"(797,)",0.3,Share of Freehold,21/10/2024,Added
Acton Town,3.0,https://www.rightmove.co.uk/properties/156436085#/?channel=RES_BUY,750000,,,Flat,3,2.0,,0.2,Leasehold,03/01/2025,Added
Acton Town,3.0,https://www.rightmove.co.uk/properties/152342276#/?channel=RES_BUY,755000,,,Apartment,3,2.0,"(1009,)",0.3,Leasehold,20/09/2024,Reduced
Acton Town,3.0,https://www.rightmove.co.uk/properties/152347328#/?channel=RES_BUY,755000,,,Flat,3,2.0,"(1073,)",0.4,Share of Freehold,19/09/2024,Reduced
Acton Town,3.0,https://www.rightmove.co.uk/properties/148029206#/?channel=RES_BUY,769950,,,Terraced,4,2.0,,0.3,Freehold,10/07/2024,Reduced
Acton Town,3.0,https://www.rightmove.co.uk/properties/153494852#/?channel=RES_BUY,769950,,,End of Terrace,4,2.0,,0.3,Freehold,10/07/2024,Reduced
Acton Town,3.0,https://www.rightmove.co.uk/properties/155673956#/?channel=RES_BUY,775000,,,Terraced,3,1.0,,0.2,Freehold,04/12/2024,Added
