,station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
1,500,51.5028,-0.2801,Acton Town,3.0,1,1,10,Piccadilly Line
9,508,51.5653,-0.1353,Archway,2.5,0,0,9,Northern Line
10,509,51.6164,-0.1331,Arnos Grove,4.0,0,0,10,Piccadilly Line
11,510,51.5586,-0.1059,Arsenal,2.0,0,0,10,Piccadilly Line
15,511,51.5226,-0.1571,Baker Street,1.0,0,0,7,Jubilee Line
17,512,51.4431,-0.1525,Balham,3.0,0,0,9,Northern Line
18,513,51.5133,-0.0886,Bank,1.0,0,0,2,Central Line
21,513,51.5133,-0.0886,Bank,1.0,0,0,9,Northern Line
28,515,51.5856,0.0887,Barkingside,5.0,0,0,2,Central Line
30,516,51.4905,-0.2139,Barons Court,2.0,0,1,10,Piccadilly Line
34,519,51.5504,-0.1642,Belsize Park,2.0,0,0,9,Northern Line
35,787,51.4979,-0.0637,Bermondsey,2.0,1,1,7,Jubilee Line
36,520,51.527,-0.0549,Bethnal Green,2.0,0,0,2,Central Line
39,522,51.5867,-0.0417,Blackhorse Road,3.0,0,0,11,Victoria Line
40,524,51.5142,-0.1494,Bond Street,1.0,1,1,2,Central Line
41,524,51.5142,-0.1494,Bond Street,1.0,1,1,7,Jubilee Line
43,526,51.4956,-0.325,Boston Manor,4.0,0,0,10,Piccadilly Line
44,527,51.6071,-0.1243,Bounds Green,3.5,0,0,10,Piccadilly Line
47,529,51.5766,-0.2136,Brent Cross,3.0,0,0,9,Northern Line
48,778,51.4627,-0.1145,Brixton,2.0,1,1,11,Victoria Line
51,531,51.6266,0.0471,Buckhurst Hill,5.0,1,1,2,Central Line
52,532,51.6028,-0.2641,Burnt Oak,4.0,0,0,9,Northern Line
53,534,51.5481,-0.1188,Caledonian Road,2.0,1,1,10,Piccadilly Line
54,535,51.5392,-0.1426,Camden Town,2.0,0,1,9,Northern Line
55,788,51.4982,-0.0502,Canada Water,2.0,1,1,7,Jubilee Line
56,852,51.5051,-0.0209,Canary Wharf,2.0,1,1,7,Jubilee Line
57,884,51.5147,0.0082,Canning Town,3.0,1,1,7,Jubilee Line
60,537,51.6078,-0.2947,Canons Park,5.0,0,0,7,Jubilee Line
62,540,51.5441,-0.1538,Chalk Farm,2.0,0,0,9,Northern Line
63,541,51.5185,-0.1111,Chancery Lane,1.0,0,0,2,Central Line
65,718,51.508,-0.1247,Charing Cross,1.0,0,0,9,Northern Line
67,544,51.6177,0.0755,Chigwell,5.0,0,0,2,Central Line
70,547,51.4618,-0.1384,Clapham Common,2.0,0,0,9,Northern Line
71,548,51.4649,-0.1299,Clapham North,2.0,0,0,9,Northern Line
72,549,51.4527,-0.148,Clapham South,2.5,0,0,9,Northern Line
73,550,51.6517,-0.1496,Cockfosters,5.0,1,1,10,Piccadilly Line
74,551,51.5955,-0.2502,Colindale,4.0,0,0,9,Northern Line
75,552,51.418,-0.1778,Colliers Wood,3.0,0,0,9,Northern Line
76,553,51.5129,-0.1243,Covent Garden,1.0,0,0,10,Piccadilly Line
80,557,51.6455,0.0838,Debden,6.0,0,0,2,Central Line
81,558,51.552,-0.2387,Dollis Hill,3.0,0,0,7,Jubilee Line
82,560,51.5152,-0.3017,Ealing Broadway,3.0,1,1,2,Central Line
87,562,51.492,-0.1973,Earl's Court,1.5,1,1,10,Piccadilly Line
88,563,51.5168,-0.2474,East Acton,2.0,0,0,2,Central Line
89,565,51.5874,-0.165,East Finchley,3.0,0,0,9,Northern Line
95,568,51.6137,-0.275,Edgware,5.0,1,1,9,Northern Line
106,542,51.5074,-0.1223,Embankment,1.0,0,0,9,Northern Line
107,572,51.6937,0.1139,Epping,6.0,1,1,2,Central Line
108,574,51.5282,-0.1337,Euston,1.0,0,0,9,Northern Line
