,station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name,flooding
1,500,51.5028,-0.2801,Acton Town,3,1,1,10,Piccadilly Line,0
9,508,51.5653,-0.1353,Archway,2.5,0,0,9,Northern Line,0
15,511,51.5226,-0.1571,Baker Street,1,0,0,7,Jubilee Line,0
17,512,51.4431,-0.1525,Balham,3,0,0,9,Northern Line,0
21,513,51.5133,-0.0886,Bank,1,0,0,9,Northern Line,0
30,516,51.4905,-0.2139,Barons Court,2,0,1,10,Piccadilly Line,1
34,519,51.5504,-0.1642,Belsize Park,2,0,0,9,Northern Line,0
39,522,51.5867,-0.0417,Blackhorse Road,3,0,0,11,Victoria Line,0
41,524,51.5142,-0.1494,Bond Street,1,1,1,7,Jubilee Line,0
43,526,51.4956,-0.325,Boston Manor,4,0,0,10,Piccadilly Line,0
44,527,51.6071,-0.1243,Bounds Green,3.5,0,0,10,Piccadilly Line,0
47,529,51.5766,-0.2136,Brent Cross,3,0,0,9,Northern Line,0
48,778,51.4627,-0.1145,Brixton,2,1,1,11,Victoria Line,0
53,534,51.5481,-0.1188,Caledonian Road,2,1,1,10,Piccadilly Line,0
54,535,51.5392,-0.1426,Camden Town,2,0,1,9,Northern Line,0
55,788,51.4982,-0.0502,Canada Water,2,1,1,7,Jubilee Line,1
56,852,51.5051,-0.0209,Canary Wharf,2,1,1,7,Jubilee Line,1
62,540,51.5441,-0.1538,Chalk Farm,2,0,0,9,Northern Line,0
63,541,51.5185,-0.1111,Chancery Lane,1,0,0,2,Central Line,0
65,718,51.508,-0.1247,Charing Cross,1,0,0,9,Northern Line,0
72,545,51.4946,-0.2678,Chiswick Park,3,0,0,4,District Line,0
75,552,51.418,-0.1778,Colliers Wood,3,0,0,9,Northern Line,0
76,553,51.5129,-0.1243,Covent Garden,1,0,0,10,Piccadilly Line,0
82,560,51.5152,-0.3017,Ealing Broadway,3,1,1,2,Central Line,0
87,562,51.492,-0.1973,Earl's Court,1.5,1,1,10,Piccadilly Line,0
88,563,51.5168,-0.2474,East Acton,2,0,0,2,Central Line,0
89,565,51.5874,-0.165,East Finchley,3,0,0,9,Northern Line,0
